timepoint	cohort	sample	peptide	count
t1	resilient	R.13	lcl|c232108_g1_i2|m.16999	30
t1	resilient	R.21	lcl|c232108_g1_i2|m.16999	9
t1	resilient	R.26	lcl|c232108_g1_i2|m.16999	1
t1	resilient	R.66	lcl|c232108_g1_i2|m.16999	16
t1	resilient	R.74	lcl|c232108_g1_i2|m.16999	26
t1	susceptible	S.5	lcl|c232108_g1_i2|m.16999	4
t1	susceptible	S.20	lcl|c232108_g1_i2|m.16999	32
t1	susceptible	S.25	lcl|c232108_g1_i2|m.16999	2
t1	susceptible	S.28	lcl|c232108_g1_i2|m.16999	0
t1	susceptible	S.55	lcl|c232108_g1_i2|m.16999	14
t1	susceptible	S.73	lcl|c232108_g1_i2|m.16999	12
t1	resilient	R.10	lcl|c237658_g3_i4|m.23566	0
t1	resilient	R.13	lcl|c237658_g3_i4|m.23566	0
t1	resilient	R.21	lcl|c237658_g3_i4|m.23566	0
t1	resilient	R.26	lcl|c237658_g3_i4|m.23566	1
t1	resilient	R.66	lcl|c237658_g3_i4|m.23566	8
t1	resilient	R.74	lcl|c237658_g3_i4|m.23566	0
t1	susceptible	S.5	lcl|c237658_g3_i4|m.23566	0
t1	susceptible	S.20	lcl|c237658_g3_i4|m.23566	0
t1	susceptible	S.25	lcl|c237658_g3_i4|m.23566	0
t1	susceptible	S.28	lcl|c237658_g3_i4|m.23566	0
t1	susceptible	S.55	lcl|c237658_g3_i4|m.23566	0
t1	susceptible	S.73	lcl|c237658_g3_i4|m.23566	0
t1	resilient	R.10	lcl|c233377_g4_i3|m.18471	6
t1	resilient	R.13	lcl|c233377_g4_i3|m.18471	1
t1	resilient	R.21	lcl|c233377_g4_i3|m.18471	2
t1	resilient	R.26	lcl|c233377_g4_i3|m.18471	3
t1	resilient	R.66	lcl|c233377_g4_i3|m.18471	0
t1	resilient	R.74	lcl|c233377_g4_i3|m.18471	6
t1	susceptible	S.5	lcl|c233377_g4_i3|m.18471	1
t1	susceptible	S.20	lcl|c233377_g4_i3|m.18471	0
t1	susceptible	S.25	lcl|c233377_g4_i3|m.18471	3
t1	susceptible	S.28	lcl|c233377_g4_i3|m.18471	0
t1	susceptible	S.55	lcl|c233377_g4_i3|m.18471	2
t1	susceptible	S.73	lcl|c233377_g4_i3|m.18471	1
t1	resilient	R.10	lcl|c236885_g1_i3|m.22659	5
t1	resilient	R.13	lcl|c236885_g1_i3|m.22659	0
t1	resilient	R.21	lcl|c236885_g1_i3|m.22659	0
t1	resilient	R.26	lcl|c236885_g1_i3|m.22659	4
t1	resilient	R.66	lcl|c236885_g1_i3|m.22659	0
t1	resilient	R.74	lcl|c236885_g1_i3|m.22659	0
t1	susceptible	S.5	lcl|c236885_g1_i3|m.22659	0
t1	susceptible	S.20	lcl|c236885_g1_i3|m.22659	0
t1	susceptible	S.25	lcl|c236885_g1_i3|m.22659	0
t1	susceptible	S.28	lcl|c236885_g1_i3|m.22659	0
t1	susceptible	S.55	lcl|c236885_g1_i3|m.22659	0
t1	susceptible	S.73	lcl|c236885_g1_i3|m.22659	0
t1	resilient	R.10	lcl|c230065_g1_i2|m.14908	4
t1	resilient	R.13	lcl|c230065_g1_i2|m.14908	5
t1	resilient	R.21	lcl|c230065_g1_i2|m.14908	2
t1	resilient	R.26	lcl|c230065_g1_i2|m.14908	10
t1	resilient	R.66	lcl|c230065_g1_i2|m.14908	1
t1	resilient	R.74	lcl|c230065_g1_i2|m.14908	4
t1	susceptible	S.5	lcl|c230065_g1_i2|m.14908	0
t1	susceptible	S.20	lcl|c230065_g1_i2|m.14908	0
t1	susceptible	S.25	lcl|c230065_g1_i2|m.14908	0
t1	susceptible	S.28	lcl|c230065_g1_i2|m.14908	0
t1	susceptible	S.55	lcl|c230065_g1_i2|m.14908	3
t1	susceptible	S.73	lcl|c230065_g1_i2|m.14908	5
t1	resilient	R.10	lcl|c229886_g1_i6|m.14730	6
t1	resilient	R.13	lcl|c229886_g1_i6|m.14730	1
t1	resilient	R.21	lcl|c229886_g1_i6|m.14730	4
t1	resilient	R.26	lcl|c229886_g1_i6|m.14730	6
t1	resilient	R.66	lcl|c229886_g1_i6|m.14730	10
t1	resilient	R.74	lcl|c229886_g1_i6|m.14730	0
t1	susceptible	S.5	lcl|c229886_g1_i6|m.14730	0
t1	susceptible	S.20	lcl|c229886_g1_i6|m.14730	4
t1	susceptible	S.25	lcl|c229886_g1_i6|m.14730	1
t1	susceptible	S.28	lcl|c229886_g1_i6|m.14730	2
t1	susceptible	S.55	lcl|c229886_g1_i6|m.14730	0
t1	susceptible	S.73	lcl|c229886_g1_i6|m.14730	4
t1	resilient	R.10	lcl|c227188_g1_i1|m.12222	3
t1	resilient	R.13	lcl|c227188_g1_i1|m.12222	5
t1	resilient	R.21	lcl|c227188_g1_i1|m.12222	9
t1	resilient	R.26	lcl|c227188_g1_i1|m.12222	7
t1	resilient	R.66	lcl|c227188_g1_i1|m.12222	6
t1	resilient	R.74	lcl|c227188_g1_i1|m.12222	3
t1	susceptible	S.5	lcl|c227188_g1_i1|m.12222	2
t1	susceptible	S.20	lcl|c227188_g1_i1|m.12222	2
t1	susceptible	S.25	lcl|c227188_g1_i1|m.12222	4
t1	susceptible	S.28	lcl|c227188_g1_i1|m.12222	3
t1	susceptible	S.55	lcl|c227188_g1_i1|m.12222	3
t1	susceptible	S.73	lcl|c227188_g1_i1|m.12222	1
t1	resilient	R.10	lcl|c231462_g1_i10|m.16284	2
t1	resilient	R.13	lcl|c231462_g1_i10|m.16284	1
t1	resilient	R.21	lcl|c231462_g1_i10|m.16284	3
t1	resilient	R.26	lcl|c231462_g1_i10|m.16284	2
t1	resilient	R.66	lcl|c231462_g1_i10|m.16284	1
