Pfam ID	GO ID	GO description							
PF00280	GO:0004867	serine-type endopeptidase inhibitor activity							
PF00280	GO:0009611	response to wounding							
PF00282	GO:0016830	carbon-carbon lyase activity							
PF00282	GO:0030170	pyridoxal phosphate binding							
PF00282	GO:0019752	carboxylic acid metabolic process							
PF00283	GO:0015979	photosynthesis							
PF00284	GO:0046872	metal ion binding							
PF00284	GO:0015979	photosynthesis							
PF00284	GO:0009523	photosystem II							
PF00284	GO:0016020	membrane							
PF00285	GO:0046912	acyltransferase activity, acyl groups converted into alkyl on transfer							
PF00286	GO:0005198	structural molecule activity							
PF00286	GO:0019028	viral capsid							
PF00287	GO:0006813	potassium ion transport							
PF00287	GO:0006814	sodium ion transport							
PF00287	GO:0005890	sodium						potassium-exchanging ATPase complex	
PF00288	GO:0005524	ATP binding							
PF00290	GO:0004834	tryptophan synthase activity							
PF00290	GO:0006568	L-tryptophan metabolic process							
PF00292	GO:0003677	DNA binding							
PF00292	GO:0006355	regulation of DNA-templated transcription							
PF00295	GO:0004650	polygalacturonase activity							
PF00295	GO:0005975	carbohydrate metabolic process							
PF00296	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen							
PF00297	GO:0003735	structural constituent of ribosome							
PF00297	GO:0006412	translation							
PF00297	GO:0005840	ribosome							
PF00298	GO:0003735	structural constituent of ribosome							
PF00298	GO:0006412	translation							
PF00298	GO:0005840	ribosome							
PF00299	GO:0004867	serine-type endopeptidase inhibitor activity							
PF00301	GO:0005506	iron ion binding							
PF00302	GO:0008811	chloramphenicol O-acetyltransferase activity							
PF00304	GO:0006952	defense response							
PF00305	GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen							
PF00305	GO:0046872	metal ion binding							
PF00306	GO:0015986	proton motive force-driven ATP synthesis							
PF00307	GO:0005515	protein binding							
PF00309	GO:0001216	DNA-binding transcription activator activity							
PF00309	GO:0016987	sigma factor activity							
